Admin2,Province/State,Country/Region,11-24-2020,11-25-2020,11-26-2020,11-27-2020,11-28-2020,11-29-2020,11-30-2020,12-01-2020,12-02-2020,12-03-2020,12-04-2020,12-05-2020,12-06-2020,12-07-2020,12-08-2020,12-09-2020,12-10-2020,12-11-2020,12-12-2020,12-13-2020,12-14-2020,12-15-2020,12-16-2020,12-17-2020,12-18-2020,12-19-2020,12-20-2020,12-21-2020,12-22-2020,12-23-2020,12-24-2020,12-25-2020,12-26-2020,12-27-2020,12-28-2020,12-29-2020,12-30-2020,12-31-2020,01-01-2021,01-02-2021,01-03-2021,01-04-2021,01-05-2021,01-06-2021,01-07-2021,01-08-2021,01-09-2021,01-10-2021,01-11-2021,01-12-2021,01-13-2021,01-14-2021,01-15-2021,01-16-2021,01-17-2021,01-18-2021,01-19-2021,01-20-2021,01-21-2021,01-22-2021,01-23-2021,01-24-2021,01-25-2021,01-26-2021,01-27-2021,01-28-2021,01-29-2021,01-30-2021,01-31-2021,02-01-2021,02-02-2021,02-03-2021,02-04-2021,02-05-2021,02-06-2021,02-07-2021,02-08-2021,02-09-2021,02-10-2021,02-11-2021,02-12-2021,02-13-2021,02-14-2021,02-15-2021,02-16-2021,02-17-2021,02-18-2021,02-19-2021,02-20-2021,02-21-2021,02-22-2021,02-23-2021,02-24-2021,02-25-2021,02-26-2021,02-27-2021,02-28-2021,03-01-2021,03-02-2021,03-03-2021,03-04-2021,03-05-2021,03-06-2021,03-07-2021,03-08-2021,03-09-2021,03-10-2021,03-11-2021,03-12-2021,03-13-2021,03-14-2021,03-15-2021,03-16-2021,03-17-2021,03-18-2021,03-19-2021,03-20-2021,03-21-2021,03-22-2021,03-23-2021,03-24-2021,03-25-2021,03-26-2021,03-27-2021,03-28-2021,03-29-2021,03-30-2021,03-31-2021,04-01-2021,04-02-2021,04-03-2021,04-04-2021,04-05-2021,04-06-2021,04-07-2021,04-08-2021
,Alberta,Canada,13349,13719,14052,14217,14931,15692,16454,16628,17144,17743,18243,18806,19484,20067,20388,20199,20163,20161,20072,20562,21123,20649,20169,19865,19607,19260,19201,19165,18311,17821,17821,17821,17821,17821,15487,14785,14555,14555,14555,14555,18355,13839,13411,13450,13298,13628,14437,14116,13917,13220,12838,12434,12189,12713,12234,11923,11096,10565,10256,9987,9727,9511,9339,8652,8203,8041,7805,7530,7505,7387,6912,6599,6588,6407,6266,6242,6196,5831,5706,5501,5407,5271,5215,5222,4993,4857,4887,4840,4803,4758,4675,4516,4545,4484,4505,4546,4584,4674,4631,4649,4613,4639,4649,4949,4633,4470,4463,4488,4546,4594,4697,4811,4776,4918,5084,5429,5618,5971,6176,6231,6534,6835,7077,7366,7698,7922,7975,8350,8653,8653,9753,9753,10582,10809,11464,12187
,British Columbia,Canada,8385,8901,9591,9185,9185,9185,9686,9663,9835,10013,9982,9982,9982,10338,10278,10330,10525,10601,10601,10601,11089,10929,11035,11100,11087,11087,11087,10847,10639,10279,10017,10017,10017,10017,10017,8758,8726,8962,8962,8962,8962,8026,7676,7564,7671,7439,7439,7439,6556,6390,6148,5965,5955,5955,5955,5713,5723,5744,5847,5901,5901,5901,5843,5714,5769,5940,6039,6039,6039,5610,6019,5903,5927,5903,5903,5903,4088,4506,4420,4424,4454,4454,4454,4454,4264,4226,4404,4538,4538,4538,4615,4733,4721,4544,4651,4651,4651,4533,4747,4718,4808,4975,4975,4975,4941,4956,4947,4993,5145,5145,5145,5076,5086,4933,5017,5287,5287,5287,5388,5508,5671,5972,6362,6362,6362,7018,7179,7524,7685,7685,7685,7685,7685,8808,8868,9323
,Diamond Princess,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Grand Princess,Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Manitoba,Canada,8677,8758,8845,8865,9024,9172,9260,9066,8970,9130,9172,9115,9216,5462,5379,5348,5380,5517,5630,5728,5791,5762,5797,5829,5602,5668,5749,5736,4382,4427,4489,4489,4489,4488,4442,4424,4444,4505,4505,4559,4461,4423,4427,4460,4506,4582,4664,4728,3414,3100,2928,2886,2907,2986,3081,3108,3088,3137,3205,3261,3372,3521,3542,3492,3456,3456,3490,3526,3503,3466,3421,3358,3340,3353,3309,3256,1622,1597,1573,1582,1582,1628,1619,1619,1625,1555,1153,1169,1207,1180,1219,1212,1196,1206,1197,1208,1194,1171,1151,1146,1143,1133,1114,1130,1145,1153,1185,1204,872,909,891,908,989,1035,1089,1127,1155,1185,1205,1247,1261,1109,1169,1190,1179,1177,1197,1181,1179,1179,1252,1252,1280,1255,1294,1066
,New Brunswick,Canada,93,94,105,114,111,119,120,116,119,111,111,98,82,81,82,74,75,78,72,65,60,48,52,56,53,50,46,49,47,47,45,44,39,35,34,32,28,29,25,35,42,56,81,111,131,144,172,185,205,220,231,247,257,268,293,305,317,318,325,332,329,335,349,340,328,314,314,284,284,274,268,265,257,229,222,204,183,184,176,162,157,161,151,141,131,119,112,106,88,88,85,76,65,50,42,42,39,37,37,38,37,34,36,36,37,36,35,35,34,34,38,37,42,43,49,49,50,50,56,57,64,90,100,111,115,121,127,136,142,148,154,163,169,163,164,147
,Newfoundland and Labrador,Canada,24,25,28,31,32,36,36,33,30,29,27,26,30,28,28,20,20,20,23,22,22,20,23,24,27,34,34,31,32,26,24,24,24,24,22,22,21,20,20,14,12,13,14,12,12,12,7,8,8,7,6,7,8,8,9,9,8,8,9,10,8,8,8,6,8,12,16,16,16,16,16,17,17,17,20,19,30,60,113,213,263,288,299,301,300,341,383,420,437,433,410,375,348,338,290,274,266,240,207,153,125,117,91,91,88,84,78,72,61,57,56,54,49,40,38,30,9,9,8,6,7,5,5,5,6,6,8,7,8,8,8,8,8,7,8,9
,Northwest Territories,Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,6,7,7,8,9,9,9,3,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,7,7,7,7,7,6,5,3,3,0,0,0,0,1,1,1,1,1,1,7,3,3,6,6,6,6,6,6,10,8,8,8,8,5,5,4,4,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
,Nova Scotia,Canada,87,102,114,114,114,114,138,142,127,119,117,95,88,90,78,71,64,65,61,59,57,57,55,50,48,46,41,38,40,35,36,36,36,36,33,30,25,22,22,27,27,27,19,29,28,29,31,28,26,27,30,32,32,30,29,25,22,23,21,22,22,22,22,22,22,22,22,22,22,22,22,11,10,8,7,8,8,9,9,11,9,10,9,10,12,14,13,15,18,19,19,20,21,27,35,39,38,35,29,30,29,31,29,29,24,26,24,19,17,20,18,17,17,15,17,17,17,21,20,21,24,25,27,25,25,24,24,23,24,31,32,34,31,36,37,40
,Nunavut,Canada,142,153,150,151,131,112,108,93,80,75,51,56,51,51,44,48,42,56,50,48,49,45,41,37,34,34,33,18,9,8,9,9,9,9,9,6,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,15,17,17,17,18,18,18,27,27,12,12,14,14,15,14,5,5,6,9,9,9,11,11,23,21,27,29,30,28,33,33,27,25,26,20,18,8,9,8,14,17,21,25,23,23,22,20,12,8,8,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
