Admin2,Province/State,Country/Region,07-28-2020,07-29-2020,07-30-2020,07-31-2020,08-01-2020,08-02-2020,08-03-2020,08-04-2020,08-05-2020,08-06-2020,08-07-2020,08-08-2020,08-09-2020,08-10-2020,08-11-2020,08-12-2020,08-13-2020,08-14-2020,08-15-2020,08-16-2020,08-17-2020,08-18-2020,08-19-2020,08-20-2020,08-21-2020,08-22-2020,08-23-2020,08-24-2020,08-25-2020,08-26-2020,08-27-2020,08-28-2020,08-29-2020,08-30-2020,08-31-2020,09-01-2020,09-02-2020,09-03-2020,09-04-2020,09-05-2020,09-06-2020,09-07-2020,09-08-2020,09-09-2020,09-10-2020,09-11-2020,09-12-2020,09-13-2020,09-14-2020,09-15-2020,09-16-2020,09-17-2020,09-18-2020,09-19-2020,09-20-2020,09-21-2020,09-22-2020,09-23-2020,09-24-2020,09-25-2020,09-26-2020,09-27-2020,09-28-2020,09-29-2020,09-30-2020,10-01-2020,10-02-2020,10-03-2020,10-04-2020,10-05-2020,10-06-2020,10-07-2020,10-08-2020,10-09-2020,10-10-2020,10-11-2020,10-12-2020,10-13-2020,10-14-2020,10-15-2020,10-16-2020,10-17-2020,10-18-2020,10-19-2020,10-20-2020,10-21-2020,10-22-2020,10-23-2020,10-24-2020,10-25-2020,10-26-2020,10-27-2020,10-28-2020,10-29-2020,10-30-2020,10-31-2020,11-01-2020,11-02-2020,11-03-2020,11-04-2020,11-05-2020,11-06-2020,11-07-2020,11-08-2020,11-09-2020,11-10-2020,11-11-2020,11-12-2020,11-13-2020,11-14-2020,11-15-2020,11-16-2020,11-17-2020,11-18-2020,11-19-2020,11-20-2020,11-21-2020,11-22-2020,11-23-2020,11-24-2020,11-25-2020,11-26-2020,11-27-2020,11-28-2020,11-29-2020,11-30-2020,12-01-2020,12-02-2020,12-03-2020,12-04-2020,12-05-2020,12-06-2020,12-07-2020,12-08-2020,12-09-2020,12-10-2020,12-11-2020,12-12-2020,12-13-2020,12-14-2020,12-15-2020,12-16-2020,12-17-2020,12-18-2020,12-19-2020,12-20-2020,12-21-2020,12-22-2020,12-23-2020,12-24-2020,12-25-2020,12-26-2020,12-27-2020,12-28-2020,12-29-2020,12-30-2020,12-31-2020,01-01-2021,01-02-2021,01-03-2021,01-04-2021,01-05-2021,01-06-2021,01-07-2021,01-08-2021,01-09-2021,01-10-2021,01-11-2021,01-12-2021,01-13-2021,01-14-2021,01-15-2021,01-16-2021,01-17-2021,01-18-2021,01-19-2021,01-20-2021,01-21-2021,01-22-2021,01-23-2021,01-24-2021,01-25-2021,01-26-2021,01-27-2021,01-28-2021,01-29-2021,01-30-2021,01-31-2021,02-01-2021,02-02-2021,02-03-2021,02-04-2021,02-05-2021,02-06-2021,02-07-2021,02-08-2021,02-09-2021,02-10-2021,02-11-2021,02-12-2021,02-13-2021,02-14-2021,02-15-2021,02-16-2021,02-17-2021,02-18-2021,02-19-2021,02-20-2021,02-21-2021,02-22-2021,02-23-2021,02-24-2021,02-25-2021,02-26-2021,02-27-2021,02-28-2021,03-01-2021,03-02-2021,03-03-2021,03-04-2021,03-05-2021,03-06-2021,03-07-2021,03-08-2021,03-09-2021,03-10-2021,03-11-2021,03-12-2021,03-13-2021,03-14-2021,03-15-2021,03-16-2021,03-17-2021,03-18-2021,03-19-2021,03-20-2021,03-21-2021,03-22-2021,03-23-2021,03-24-2021,03-25-2021,03-26-2021,03-27-2021,03-28-2021,03-29-2021,03-30-2021,03-31-2021,04-01-2021,04-02-2021,04-03-2021
,Andaman and Nicobar Islands,India,338,363,428,548,636,734,830,928,1027,1123,1222,1351,1490,1625,1764,1900,2037,2186,2306,2399,2445,2529,2604,2680,2747,2808,2860,2904,2945,2985,3018,3050,3081,3104,3132,3160,3186,3223,3257,3292,3332,3359,3392,3426,3465,3494,3521,3546,3546,3574,3593,3604,3631,3644,3651,3673,3691,3712,3744,3759,3774,3794,3803,3821,3835,3848,3858,3868,3884,3899,3912,3935,3952,3976,3992,4005,4023,4036,4046,4062,4072,4083,4108,4126,4141,4168,4184,4207,4225,4245,4253,4274,4289,4305,4317,4332,4340,4352,4372,4389,4403,4420,4441,4450,4463,4477,4494,4507,4518,4527,4536,4557,4574,4593,4604,4617,4631,4641,4656,4667,4677,4682,4689,4698,4704,4710,4710,4723,4729,4742,4747,4758,4773,4778,4783,4791,4798,4805,4818,4834,4842,4850,4860,4869,4875,4881,4888,4893,4896,4901,4912,4912,4924,4929,4936,4941,4941,4945,4947,4948,4948,4949,4949,4958,4958,4959,4960,4963,4966,4969,4969,4979,4982,4983,4988,4989,4991,4991,4992,4993,4993,4994,4994,4994,4994,4994,4994,4994,4994,4994,4994,4994,4997,5000,5001,5005,5007,5007,5007,5007,5009,5009,5009,5013,5014,5014,5014,5014,5014,5015,5016,5016,5016,5017,5018,5020,5020,5020,5022,5024,5024,5024,5024,5026,5028,5028,5028,5029,5030,5031,5031,5032,5035,5036,5038,5038,5039,5039,5039,5041,5042,5043,5044,5046,5052,5052,5083,5084,5084,5098
,Andhra Pradesh,India,102349,120390,130557,140933,150209,158764,166586,176333,186461,196789,206960,217040,227860,235525,244549,254146,264142,273085,281817,289829,296609,306261,316003,325396,334940,345216,353111,361712,361712,382469,393090,403616,414164,424767,434771,445139,455531,465730,476506,487331,498125,506493,517094,527512,537687,547686,557587,567123,567123,583925,592760,601462,609558,617776,625514,631749,639302,646530,654385,661458,668751,675674,681161,687351,693484,700235,706790,713014,719256,723512,729307,734427,739719,744864,750517,755727,758951,763573,767465,771503,775470,779146,783132,786050,789553,793299,796919,800684,804026,807023,808924,811825,814774,817679,820565,823348,825966,827882,830731,833208,835953,838363,840730,842967,844359,846245,847977,849705,851298,852955,854011,854764,856159,857395,858711,859932,861092,862213,862758,863843,864674,865705,866438,867063,867683,868064,868064,869412,870076,870675,871305,871972,872288,872839,873457,873995,874515,875025,875531,875836,876336,876814,877348,877806,878285,878723,878937,879339,879718,880075,880430,880712,881061,881273,881599,881948,881948,882286,882850,883082,883210,883587,883876,884171,884171,884689,884916,885037,885234,885437,885437,885710,885824,885985,886066,886245,886418,886557,886694,886852,887010,887066,887238,887349,887466,887591,887720,887836,887900,888004,888099,888178,888275,888350,888423,888485,888555,888605,888692,888760,888814,888869,888899,888959,889010,889077,889156,889210,889298,889339,889409,889503,889585,889681,889799,889916,889974,890080,890215,890317,890441,890556,890692,890766,890884,891004,891178,891388,891563,891861,892008,892269,892522,892740,892986,893366,893734,894044,894536,895121,895879,896863,897810,898815,899812,899812,901989,903260,904548,905946
,Arunachal Pradesh,India,1239,1410,1484,1591,1673,1698,1758,1790,1855,1948,2049,2117,2155,2231,2327,2430,2512,2607,2658,2701,2741,2875,2950,3066,3126,3223,3263,3312,3412,3555,3633,3745,3877,4034,4112,4212,4360,4574,4775,4914,5000,5180,5402,5545,5672,5825,5975,6121,6121,6466,6692,6851,7005,7250,7385,7595,7844,8133,8416,8671,8869,9004,9332,9553,9796,10020,10220,10421,10548,10783,11007,11267,11479,11760,11998,12147,12367,12561,12768,12971,13169,13348,13406,13643,13778,13912,14077,14145,14211,14244,14391,14472,14580,14668,14752,14852,14881,14998,15083,15160,15244,15325,15389,15436,15484,15581,15657,15701,15758,15792,15812,15868,15904,15945,15976,16001,16037,16061,16092,16144,16174,16204,16231,16262,16269,16282,16282,16320,16348,16367,16384,16395,16415,16437,16461,16479,16497,16509,16513,16536,16553,16574,16603,16611,16629,16630,16652,16657,16669,16678,16678,16687,16689,16696,16709,16711,16711,16719,16727,16732,16741,16744,16753,16757,16757,16767,16772,16777,16782,16783,16783,16802,16808,16811,16812,16815,16815,16816,16817,16818,16819,16820,16821,16824,16827,16827,16828,16828,16828,16829,16829,16829,16829,16830,16830,16831,16831,16831,16832,16832,16832,16832,16833,16833,16833,16836,16836,16836,16836,16836,16836,16836,16836,16836,16836,16836,16837,16838,16838,16838,16839,16839,16839,16839,16839,16840,16840,16840,16840,16840,16840,16841,16841,16842,16842,16842,16842,16842,16842,16842,16842,16843,16845,16845,16845,16845,16845,16845,16846,16849
,Assam,India,33576,36295,38407,40269,41726,42904,45275,48161,50445,52817,55496,57714,58837,61737,64406,68999,71795,74501,75558,76875,79667,82201,84317,86052,87908,89468,90740,92619,94592,96771,98807,101367,103794,105774,109040,111724,115279,118333,121224,123922,125459,128244,130823,133066,135805,138339,140471,141763,141763,146575,148969,150349,152858,155453,156680,159320,161393,163491,165582,167374,169110,169985,173629,177221,180811,182396,183812,185444,186200,187718,188902,190209,191397,192416,193387,193783,195304,196786,198213,198982,199749,200391,200709,201407,202073,202774,203282,203709,203967,204171,204386,204789,205237,205635,206015,206351,206517,206982,207361,207741,208054,208389,208637,208789,209117,209388,209633,209835,210068,210175,210268,210454,210696,210865,211040,211204,211427,211513,211682,211839,212021,212171,212320,212483,212617,212776,212776,213171,213336,213505,213662,213759,213925,214019,214165,214305,214432,214584,214657,214803,214945,215042,215148,215250,215346,215409,215510,215585,215680,215775,215836,215910,215939,215997,216063,216139,216139,216211,216289,216304,216340,216381,216424,216481,216481,216565,216590,216635,216690,216743,216743,216777,216809,216831,216864,216887,216919,216940,216957,216976,216992,217017,217025,217042,217071,217091,217120,217141,217154,217161,217175,217186,217193,217202,217210,217229,217256,217267,217277,217285,217288,217293,217304,217309,217330,217344,217367,217383,217392,217406,217427,217454,217484,217518,217527,217537,217570,217585,217593,217613,217642,217649,217668,217682,217704,217726,217745,217766,217780,217797,217817,217839,217872,217905,217924,217951,217976,218006,218058,218099,218139,218176,218222,218270,218310,218310,218412,218470,218533,218601
,Bihar,India,41244,46080,48477,51233,54240,57024,59328,61788,64770,67788,71304,75294,79451,82550,86413,90321,94193,98008,101551,103844,106307,109498,112437,114941,117413,119529,121947,123198,124536,126714,128780,131057,133003,135035,136457,138349,141441,142967,144104,145832,147661,149027,150502,152192,153568,155445,156703,158285,158285,160871,162463,164051,165218,166788,169024,169651,171255,172854,174071,175525,177072,178702,179832,181285,182728,184038,185436,186441,188168,189442,190740,191985,193072,194329,195499,196531,197535,198855,200103,201196,202290,203457,204363,205945,207405,208377,209447,210196,211258,211689,212355,213085,213576,214242,215327,216086,216707,217277,218203,218605,219349,220099,220936,221624,222917,223346,223917,224524,225124,225595,225901,226417,227018,227822,228511,228886,229177,229544,230094,230845,231539,232235,232916,233572,234119,234610,234610,235839,236420,237006,237552,238106,238648,239322,239955,240572,241222,241776,242224,242660,243281,243830,244386,245027,245661,246185,246568,247108,247807,248351,248945,249403,249912,250390,250928,251348,251348,251743,252584,252857,253272,253695,254014,254447,254447,255386,255700,255932,256309,256587,256587,257193,257474,257610,257775,257991,258176,258414,258513,258638,258787,258861,258996,259149,259214,259373,259496,259563,259660,259781,259858,259936,260034,260095,260270,260670,261092,261511,261568,261646,261690,261741,261785,261841,261879,261942,262009,262066,262160,262244,262303,262357,262418,262464,262509,262534,262556,262597,262628,262668,262706,262728,262758,262779,262820,262864,262909,262937,262974,263025,263051,263100,263158,263265,263355,263443,263569,263659,263770,263940,264198,264409,264604,264955,265194,265194,265527,266015,266677,267513
,Chandigarh,India,910,978,1016,1051,1079,1117,1159,1206,1270,1327,1374,1426,1515,1595,1670,1751,1842,1928,2009,2102,2216,2305,2396,2515,2631,2776,2918,3035,3209,3376,3564,3724,3985,4155,4346,4550,4789,5065,5268,5502,5763,5995,6372,6704,6987,7292,7542,7991,7991,8592,8958,9256,9506,9796,10082,10298,10546,10726,10968,11212,11380,11553,11678,11816,11938,12057,12212,12360,12445,12578,12707,12820,12922,12985,13081,13162,13260,13331,13403,13477,13532,13582,13646,13686,13743,13795,13848,13920,13977,14038,14085,14152,14212,14292,14351,14418,14476,14528,14608,14702,14794,14927,15025,15134,15249,15339,15434,15543,15636,15636,15804,15886,16022,16167,16322,16472,16591,16671,16769,16848,16925,17051,17157,17246,17342,17409,17409,17642,17717,17828,17926,18027,18113,18239,18322,18410,18502,18572,18638,18714,18776,18843,18905,18979,19044,19073,19128,19184,19266,19309,19345,19423,19486,19551,19615,19682,19682,19748,19865,19881,19936,20026,20104,20147,20147,20251,20295,20342,20378,20415,20415,20464,20503,20537,20564,20595,20623,20639,20664,20686,20718,20749,20775,20819,20855,20882,20899,20925,20957,20979,21015,21036,21060,21088,21107,21133,21154,21171,21184,21203,21220,21238,21264,21293,21322,21352,21371,21397,21425,21463,21500,21541,21590,21659,21719,21770,21839,21906,21962,22040,22116,22238,22318,22397,22502,22589,22697,22832,22976,23096,23244,23391,23592,23803,24017,24220,24459,24667,24881,25130,25356,25604,25898,26194,26468,26468,26999,27256,27543,27853
,Chhattisgarh,India,7745,8539,8761,9086,9385,9531,9779,10202,10407,10932,11408,11743,12148,12448,12929,13498,13937,14481,14987,15471,16025,16833,17485,18501,19510,20078,20918,22054,23341,24550,25988,27233,28746,30092,31503,33387,35683,37967,40634,43163,45263,47280,50114,52932,55680,58643,61763,63991,63991,70777,73966,77775,81617,84234,86183,88181,90917,93351,95623,98565,102461,104733,108458,110655,113602,116153,118790,121400,123324,126005,128893,131739,134612,137570,140258,142372,145247,147866,150696,153515,155987,158502,160396,162772,165279,167639,170130,172580,174591,175959,177608,179654,181583,183588,185306,187270,188813,190513,192237,194499,196233,197991,199562,200937,202523,204202,205923,207740,209288,210004,210534,211644,213365,215413,217562,219404,221688,223436,225497,227326,229203,230956,232835,234725,235998,237322,237322,240863,242418,243997,245580,246809,248232,249699,251120,252638,254129,255761,257020,258635,260240,261901,263485,264898,266266,267219,268477,269857,271194,272426,273279,274324,275149,276337,277471,278540,278540,279575,281654,282368,283515,284536,285586,286596,286596,288570,289231,290084,290813,291484,291484,292612,293178,293501,293972,294355,294949,295509,295949,296326,296626,297108,297429,297868,304319,304689,305102,305367,305689,306019,306370,306743,307079,307339,307525,307790,307996,308218,308472,308701,308930,309099,309373,309623,309934,310210,310469,310732,310885,311159,311433,311680,311900,312179,312419,312560,312816,313032,313299,313534,313808,314098,314320,314640,315030,315486,315864,316311,316854,317329,317974,318830,319717,320783,321880,323153,324153,325678,327588,329694,332113,334778,337940,340093,341516,341516,349187,353804,357978,363796
,Dadra and Nagar Haveli and Daman and Diu,India,946,1026,1064,1100,1145,1184,1274,1325,1366,1391,1437,1456,1564,1613,1653,1696,1752,1797,1843,1878,1908,1951,1995,2030,2082,2120,2161,2181,2203,2228,2266,2290,2306,2340,2367,2386,2435,2450,2467,2537,2575,2590,2617,2643,2671,2695,2725,2745,2745,2783,2810,2831,2859,2887,2924,2933,2944,2962,2977,2989,2996,3002,3012,3032,3040,3054,3061,3070,3087,3092,3103,3120,3132,3140,3152,3163,3168,3168,3171,3172,3177,3180,3183,3185,3194,3207,3213,3220,3225,3228,3228,3231,3237,3243,3248,3251,3255,3257,3257,3262,3268,3272,3273,3274,3274,3275,3275,3278,3281,3285,3291,3294,3297,3305,3307,3316,3317,3321,3325,3325,3327,3328,3330,3330,3332,3332,3332,3340,3340,3340,3341,3342,3346,3351,3354,3354,3355,3356,3356,3359,3359,3360,3361,3362,3363,3363,3363,3364,3365,3367,3370,3372,3373,3374,3375,3375,3375,3378,3378,3379,3379,3379,3379,3379,3379,3380,3380,3382,3382,3383,3383,3388,3388,3390,3390,3391,3393,3393,3394,3394,3394,3394,3395,3396,3397,3398,3398,3398,3398,3398,3398,3398,3398,3398,3398,3398,3398,3398,3398,3398,3400,3400,3400,3400,3402,3402,3402,3402,3402,3402,3402,3404,3405,3406,3406,3406,3406,3408,3408,3408,3408,3409,3416,3421,3423,3426,3426,3431,3435,3438,3440,3445,3445,3454,3464,3471,3481,3485,3495,3510,3536,3554,3580,3607,3623,3623,3661,3683,3703,3719
,Delhi,India,131219,133310,134403,135598,136716,137677,138482,139156,140232,141531,142723,144127,145427,146134,147391,148504,149460,150652,151928,152580,153367,154741,156139,157354,158604,160016,161466,162527,164071,165764,167604,169412,171366,173390,174748,177060,179569,182306,185220,188193,191449,193526,197135,201174,205482,209748,214069,218304,218304,225796,230269,234701,238828,242899,246711,249259,253075,256789,260623,264450,267822,271114,273098,276325,279715,282752,285672,287930,290613,292560,295236,298107,300833,303693,306559,309339,311188,314224,317548,321031,324459,327718,331017,333171,336750,340436,344318,348404,352520,356656,359488,364341,370014,375753,381644,386706,392370,396371,403096,409938,416653,423831,430784,438529,443552,451382,459975,467028,474830,482170,485405,489202,495598,503084,510630,517238,523117,529863,534317,540541,545787,551262,556744,561742,566648,570374,570374,578324,582058,586125,589544,592250,593924,597112,599575,601150,603535,605470,607454,608830,610447,611994,613357,614775,615914,617005,617808,618747,619618,620681,621439,622094,622851,623415,624118,624795,624795,625369,626448,626872,627256,627698,628352,628838,628838,629801,630200,630506,630892,631249,631249,631884,632183,632429,632590,632821,633049,633276,633542,633739,633924,634072,634229,634325,634524,634773,634956,635096,635217,635331,635481,635639,635793,635916,636035,636160,636260,636387,636529,636670,636796,636946,637087,637181,637315,637445,637603,637755,637900,638028,638173,638373,638593,638849,639092,639289,639464,639681,639921,640182,640494,640815,641101,641340,641660,642030,642439,642870,643289,643696,644064,644489,645025,645632,646348,647161,647984,648872,649973,651227,652742,654276,655834,657715,659616,659616,662430,665220,668814,672381
,Goa,India,5119,5489,5704,5913,6193,6530,6816,7075,7423,7614,7947,8206,8712,9029,9444,9924,10494,10970,11339,11639,11994,12333,12675,13099,13484,13790,13999,14138,14530,15027,15483,16006,16553,17004,17418,18006,18642,19355,19863,20455,20829,21173,21630,22251,22890,23445,24185,24592,24592,25511,26139,26783,27379,28022,28429,28753,29343,29879,30552,31071,31574,31958,32396,32777,33418,33942,34455,34900,35328,35719,36238,36670,37102,37591,37934,38366,38674,39082,39438,39770,40091,40400,40587,40746,41031,41339,41586,41813,42031,42242,42532,42747,42968,43201,43416,43626,43768,43954,44189,44372,44544,44747,44916,45065,45209,45389,45498,45605,45761,45845,45903,46028,46182,46344,46480,46632,46748,46826,46901,47068,47193,47341,47491,47689,47804,47963,47963,48241,48365,48459,48574,48686,48776,48935,49036,49131,49235,49305,49362,49474,49566,49657,49745,49849,49976,50064,50143,50239,50364,50454,50534,50595,50667,50772,50884,50981,50981,51066,51230,51295,51335,51415,51507,51626,51626,51790,51856,51891,51983,52079,52079,52262,52345,52405,52458,52570,52657,52712,52782,52867,52920,52977,53047,53100,53185,53263,53356,53409,53469,53575,53638,53717,53773,53838,53880,53937,53996,54068,54113,54152,54193,54235,54275,54323,54369,54421,54466,54523,54562,54591,54648,54700,54771,54871,54932,54986,55026,55073,55143,55212,55291,55361,55409,55463,55538,55607,55676,55758,55851,55917,56006,56100,56173,56271,56371,56525,56623,56708,56841,56981,57170,57283,57453,57584,57712,57712,58039,58304,58584,58803
